create table compositetest (id int, name char(10), value float, category char(5));
insert into compositetest values (113, 'SCwlE', 458.31, 'cat3');
insert into compositetest values (114, 'cClBL', 956.44, 'cat4');
insert into compositetest values (115, 'vSvBf', 771.48, 'cat5');
insert into compositetest values (116, 'TRzhP', 233.98, 'cat6');
insert into compositetest values (117, 'JxdpD', 781.31, 'cat7');
insert into compositetest values (118, 'eXkEd', 634.06, 'cat8');
insert into compositetest values (119, 'BVYLc', 851.33, 'cat9');
insert into compositetest values (120, 'fMbpu', 980.08, 'cat0');
insert into compositetest values (121, 'sucPj', 545.19, 'cat1');
insert into compositetest values (122, 'ZlBQR', 631.81, 'cat2');
insert into compositetest values (123, 'hAqAs', 148.35, 'cat3');
insert into compositetest values (124, 'egcym', 836.84, 'cat4');
insert into compositetest values (125, 'KwFQJ', 723.51, 'cat5');
insert into compositetest values (126, 'vpvQL', 159.6, 'cat6');
insert into compositetest values (127, 'zfPeQ', 183.38, 'cat7');
insert into compositetest values (128, 'cjjgA', 298.28, 'cat8');
insert into compositetest values (129, 'PIclt', 451.85, 'cat9');
insert into compositetest values (130, 'Ycwfh', 533.79, 'cat0');
insert into compositetest values (131, 'DLGWu', 824.4, 'cat1');
insert into compositetest values (132, 'HQaxG', 732.87, 'cat2');
insert into compositetest values (133, 'YpXbG', 59.5, 'cat3');
insert into compositetest values (134, 'heNRq', 978.46, 'cat4');
insert into compositetest values (135, 'PbnMO', 191.34, 'cat5');
insert into compositetest values (136, 'kjGZG', 998.88, 'cat6');
insert into compositetest values (137, 'RfoFq', 44.5, 'cat7');
insert into compositetest values (138, 'pybEP', 424.46, 'cat8');
insert into compositetest values (139, 'cBKtA', 553.24, 'cat9');
insert into compositetest values (140, 'XzFCx', 38.94, 'cat0');
insert into compositetest values (141, 'bjCKH', 948.53, 'cat1');
insert into compositetest values (142, 'IsYzQ', 52.14, 'cat2');
insert into compositetest values (143, 'Mepfb', 152.19, 'cat3');
insert into compositetest values (144, 'nuJUa', 969.19, 'cat4');
insert into compositetest values (145, 'dkdgi', 53.54, 'cat5');
insert into compositetest values (146, 'mpKZV', 246.56, 'cat6');
insert into compositetest values (147, 'kdlLw', 516.67, 'cat7');
insert into compositetest values (148, 'LhsVj', 445.76, 'cat8');
insert into compositetest values (149, 'WjHlZ', 283.26, 'cat9');
insert into compositetest values (150, 'AHDDH', 659.29, 'cat0');
insert into compositetest values (151, 'OxlcV', 894.84, 'cat1');
insert into compositetest values (152, 'IFghe', 154.93, 'cat2');
insert into compositetest values (153, 'sfFsc', 640.96, 'cat3');
insert into compositetest values (154, 'JExWF', 67.9, 'cat4');
insert into compositetest values (155, 'DMKoD', 577.38, 'cat5');
insert into compositetest values (156, 'zThcW', 931.46, 'cat6');
insert into compositetest values (157, 'SAopQ', 974.93, 'cat7');
insert into compositetest values (158, 'sCgAB', 508.46, 'cat8');
insert into compositetest values (159, 'PJDJK', 650.73, 'cat9');
insert into compositetest values (160, 'nqgay', 733.76, 'cat0');
insert into compositetest values (161, 'bUVqp', 544.34, 'cat1');
insert into compositetest values (162, 'WpZyt', 850.11, 'cat2');
insert into compositetest values (163, 'YxoaG', 148.93, 'cat3');
insert into compositetest values (164, 'eQYQB', 492.58, 'cat4');
insert into compositetest values (165, 'yAFyj', 307.44, 'cat5');
insert into compositetest values (166, 'IPQQc', 446.69, 'cat6');
insert into compositetest values (167, 'uBtGm', 523.48, 'cat7');
insert into compositetest values (168, 'pUjHZ', 756.86, 'cat8');
insert into compositetest values (169, 'xcKpa', 328.34, 'cat9');
insert into compositetest values (170, 'MnvQS', 720.37, 'cat0');
insert into compositetest values (171, 'pYRox', 315.12, 'cat1');
insert into compositetest values (172, 'zBLHf', 756.43, 'cat2');
insert into compositetest values (173, 'ujKfN', 744.61, 'cat3');
insert into compositetest values (174, 'XylmB', 915.47, 'cat4');
insert into compositetest values (175, 'rGuno', 310.03, 'cat5');
insert into compositetest values (176, 'DNMKe', 351.84, 'cat6');
insert into compositetest values (177, 'VCeRZ', 939.42, 'cat7');
insert into compositetest values (178, 'HrfuE', 153.83, 'cat8');
insert into compositetest values (179, 'jguCe', 623.2, 'cat9');
insert into compositetest values (180, 'RgVKt', 387.96, 'cat0');
insert into compositetest values (181, 'ggAto', 733.32, 'cat1');
insert into compositetest values (182, 'xHtZp', 428.18, 'cat2');
insert into compositetest values (183, 'jHDdS', 187.21, 'cat3');
insert into compositetest values (184, 'ZJSao', 769.06, 'cat4');
insert into compositetest values (185, 'vwosK', 246.13, 'cat5');
insert into compositetest values (186, 'BYfBT', 873.41, 'cat6');
insert into compositetest values (187, 'ARvBU', 678.95, 'cat7');
insert into compositetest values (188, 'ZVAiX', 527.42, 'cat8');
insert into compositetest values (189, 'oiCbC', 721.09, 'cat9');
insert into compositetest values (190, 'zKfTA', 525.71, 'cat0');
insert into compositetest values (191, 'CNNiu', 791.01, 'cat1');
insert into compositetest values (192, 'yVvSD', 257.0, 'cat2');
insert into compositetest values (193, 'HYcyE', 35.51, 'cat3');
insert into compositetest values (194, 'VwVWh', 365.32, 'cat4');
insert into compositetest values (195, 'lMlnO', 823.96, 'cat5');
insert into compositetest values (196, 'fgflj', 945.69, 'cat6');
insert into compositetest values (197, 'tiwWy', 62.38, 'cat7');
insert into compositetest values (198, 'mNDvz', 515.31, 'cat8');
insert into compositetest values (199, 'ceUzE', 234.59, 'cat9');
insert into compositetest values (200, 'zDlmc', 974.49, 'cat0');
insert into compositetest values (201, 'fxScY', 613.3, 'cat1');
insert into compositetest values (202, 'cxazz', 443.88, 'cat2');
insert into compositetest values (203, 'hUiBe', 617.81, 'cat3');
insert into compositetest values (204, 'FyCEz', 920.13, 'cat4');
insert into compositetest values (205, 'jWHdu', 633.47, 'cat5');
insert into compositetest values (206, 'EDXCx', 459.32, 'cat6');
insert into compositetest values (207, 'wEyMr', 6.77, 'cat7');
insert into compositetest values (208, 'qyGhj', 584.42, 'cat8');
insert into compositetest values (209, 'nwXpT', 138.43, 'cat9');
insert into compositetest values (210, 'RfcYp', 39.0, 'cat0');
insert into compositetest values (211, 'hAcUH', 123.6, 'cat1');
insert into compositetest values (212, 'dVqWl', 376.26, 'cat2');
insert into compositetest values (213, 'HWbDP', 454.53, 'cat3');
insert into compositetest values (214, 'yDmoy', 125.75, 'cat4');
insert into compositetest values (215, 'hKYcL', 723.86, 'cat5');
insert into compositetest values (216, 'rgKDF', 627.21, 'cat6');
insert into compositetest values (217, 'NytFM', 794.21, 'cat7');
insert into compositetest values (218, 'Zoagn', 473.37, 'cat8');
insert into compositetest values (219, 'ospbA', 49.27, 'cat9');
insert into compositetest values (220, 'BZAlZ', 316.01, 'cat0');
insert into compositetest values (221, 'ooAby', 4.0, 'cat1');
insert into compositetest values (222, 'YLQAP', 922.66, 'cat2');
insert into compositetest values (223, 'LmIfB', 439.89, 'cat3');
insert into compositetest values (224, 'tQrcc', 791.24, 'cat4');
insert into compositetest values (225, 'ocGLX', 658.99, 'cat5');
insert into compositetest values (226, 'iSEHu', 244.06, 'cat6');
insert into compositetest values (227, 'etYdu', 718.77, 'cat7');
insert into compositetest values (228, 'gDVta', 949.95, 'cat8');
insert into compositetest values (229, 'eZZwg', 31.12, 'cat9');
insert into compositetest values (230, 'fxJzJ', 352.76, 'cat0');
insert into compositetest values (231, 'TbneP', 493.53, 'cat1');
insert into compositetest values (232, 'HtpcY', 224.63, 'cat2');
insert into compositetest values (233, 'LPRko', 878.44, 'cat3');
insert into compositetest values (234, 'MjbLe', 882.61, 'cat4');
insert into compositetest values (235, 'iUJec', 422.19, 'cat5');
insert into compositetest values (236, 'IPEmx', 186.7, 'cat6');
insert into compositetest values (237, 'hjKzc', 624.29, 'cat7');
insert into compositetest values (238, 'eZxYS', 182.94, 'cat8');
insert into compositetest values (239, 'CORZE', 834.63, 'cat9');
insert into compositetest values (240, 'QaSVN', 448.27, 'cat0');
insert into compositetest values (241, 'NJfPh', 41.95, 'cat1');
insert into compositetest values (242, 'ZJWpU', 232.17, 'cat2');
insert into compositetest values (243, 'UuOAX', 875.48, 'cat3');
insert into compositetest values (244, 'YOtAg', 139.06, 'cat4');
insert into compositetest values (245, 'eSnpH', 543.78, 'cat5');
insert into compositetest values (246, 'PeDUY', 905.81, 'cat6');
insert into compositetest values (247, 'tyUMH', 892.91, 'cat7');
insert into compositetest values (248, 'dKmqd', 923.43, 'cat8');
insert into compositetest values (249, 'CGJuW', 101.58, 'cat9');
insert into compositetest values (250, 'Rnhbj', 808.2, 'cat0');
insert into compositetest values (251, 'JuMVy', 391.55, 'cat1');
insert into compositetest values (252, 'vyDxB', 878.1, 'cat2');
insert into compositetest values (253, 'tvKUw', 284.69, 'cat3');
insert into compositetest values (254, 'xatLe', 473.77, 'cat4');
insert into compositetest values (255, 'NzoSg', 939.67, 'cat5');
insert into compositetest values (256, 'PkSrq', 787.68, 'cat6');
insert into compositetest values (257, 'YZHTi', 849.57, 'cat7');
insert into compositetest values (258, 'kmQyX', 38.44, 'cat8');
insert into compositetest values (259, 'jBefI', 10.11, 'cat9');
insert into compositetest values (260, 'TNNNl', 573.23, 'cat0');
insert into compositetest values (261, 'UpSEW', 531.46, 'cat1');
insert into compositetest values (262, 'pmvkj', 114.86, 'cat2');
insert into compositetest values (263, 'VPOYc', 523.51, 'cat3');
insert into compositetest values (264, 'eXzXn', 766.64, 'cat4');
insert into compositetest values (265, 'DnVbk', 642.43, 'cat5');
insert into compositetest values (266, 'CUfmA', 618.57, 'cat6');
insert into compositetest values (267, 'gtJJe', 837.46, 'cat7');
insert into compositetest values (268, 'nNboH', 691.65, 'cat8');
insert into compositetest values (269, 'trTXR', 297.7, 'cat9');
insert into compositetest values (270, 'naFrh', 888.51, 'cat0');
insert into compositetest values (271, 'gciDR', 624.44, 'cat1');
insert into compositetest values (272, 'RGAPP', 124.54, 'cat2');
insert into compositetest values (273, 'xedet', 961.0, 'cat3');
insert into compositetest values (274, 'AfnMI', 136.36, 'cat4');
insert into compositetest values (275, 'eTsiO', 425.75, 'cat5');
insert into compositetest values (276, 'JdDLz', 312.26, 'cat6');
insert into compositetest values (277, 'KZugU', 261.06, 'cat7');
insert into compositetest values (278, 'bMShL', 632.9, 'cat8');
insert into compositetest values (279, 'Bawjw', 50.8, 'cat9');
insert into compositetest values (280, 'RlkCi', 77.05, 'cat0');
insert into compositetest values (281, 'eSLma', 954.23, 'cat1');
insert into compositetest values (282, 'rodDe', 442.24, 'cat2');
insert into compositetest values (283, 'PwCsc', 783.51, 'cat3');
insert into compositetest values (284, 'dWYbN', 393.88, 'cat4');
insert into compositetest values (285, 'owMRE', 618.53, 'cat5');
insert into compositetest values (286, 'rWtKt', 254.53, 'cat6');
insert into compositetest values (287, 'RIxwy', 125.06, 'cat7');
insert into compositetest values (288, 'wnLKL', 160.53, 'cat8');
insert into compositetest values (289, 'FYrnc', 477.69, 'cat9');
insert into compositetest values (290, 'gAaej', 101.52, 'cat0');
insert into compositetest values (291, 'bNaRN', 22.77, 'cat1');
insert into compositetest values (292, 'GXvfW', 553.22, 'cat2');
insert into compositetest values (293, 'YffQv', 187.61, 'cat3');
insert into compositetest values (294, 'aaOxZ', 464.14, 'cat4');
insert into compositetest values (295, 'VHSUH', 720.89, 'cat5');
insert into compositetest values (296, 'ymXOa', 399.44, 'cat6');
insert into compositetest values (297, 'fhpDV', 395.89, 'cat7');
insert into compositetest values (298, 'CfqlJ', 43.42, 'cat8');
insert into compositetest values (299, 'iEIoO', 779.05, 'cat9');
insert into compositetest values (300, 'gDMys', 565.73, 'cat0');
insert into compositetest values (301, 'URjFm', 4.01, 'cat1');
insert into compositetest values (302, 'zLVKH', 916.73, 'cat2');
insert into compositetest values (303, 'ZDItv', 354.23, 'cat3');
insert into compositetest values (304, 'AZiuv', 790.9, 'cat4');
insert into compositetest values (305, 'keQGg', 706.46, 'cat5');
insert into compositetest values (306, 'HyANi', 387.3, 'cat6');
insert into compositetest values (307, 'eogFX', 434.4, 'cat7');
insert into compositetest values (308, 'hkmDI', 208.13, 'cat8');
insert into compositetest values (309, 'LhxgE', 792.01, 'cat9');
insert into compositetest values (310, 'aECOs', 907.9, 'cat0');
insert into compositetest values (311, 'AMhAh', 43.76, 'cat1');
insert into compositetest values (312, 'WhACD', 973.63, 'cat2');
insert into compositetest values (313, 'DxulG', 2.37, 'cat3');
insert into compositetest values (314, 'AmFBJ', 904.19, 'cat4');
insert into compositetest values (315, 'apSDT', 487.93, 'cat5');
insert into compositetest values (316, 'pDFmD', 560.05, 'cat6');
insert into compositetest values (317, 'Jljyb', 4.86, 'cat7');
insert into compositetest values (318, 'NdXss', 922.52, 'cat8');
insert into compositetest values (319, 'IoQGl', 74.59, 'cat9');
insert into compositetest values (320, 'fuoBO', 482.56, 'cat0');
insert into compositetest values (321, 'AkCbR', 262.36, 'cat1');
insert into compositetest values (322, 'gAUxA', 88.89, 'cat2');
insert into compositetest values (323, 'UySYn', 344.09, 'cat3');
insert into compositetest values (324, 'gFFtA', 703.68, 'cat4');
insert into compositetest values (325, 'Sorfv', 985.85, 'cat5');
insert into compositetest values (326, 'vQfvU', 821.15, 'cat6');
insert into compositetest values (327, 'sUDKq', 415.91, 'cat7');
insert into compositetest values (328, 'oIGSC', 186.5, 'cat8');
insert into compositetest values (329, 'YYlct', 313.83, 'cat9');
insert into compositetest values (330, 'yBESe', 495.4, 'cat0');
insert into compositetest values (331, 'eqtad', 879.45, 'cat1');
insert into compositetest values (332, 'BrGKd', 393.85, 'cat2');
insert into compositetest values (333, 'YntSt', 685.51, 'cat3');
insert into compositetest values (334, 'RQPvp', 630.87, 'cat4');
insert into compositetest values (335, 'xlpzV', 21.49, 'cat5');
insert into compositetest values (336, 'PUVaI', 541.18, 'cat6');
insert into compositetest values (337, 'ppNZx', 814.14, 'cat7');
insert into compositetest values (338, 'UnZZn', 741.6, 'cat8');
insert into compositetest values (339, 'dnTlD', 105.66, 'cat9');
insert into compositetest values (340, 'ugjRg', 756.39, 'cat0');
insert into compositetest values (341, 'XiEDR', 275.3, 'cat1');
insert into compositetest values (342, 'goIHZ', 994.96, 'cat2');
insert into compositetest values (343, 'EYYmd', 442.61, 'cat3');
insert into compositetest values (344, 'BJTXn', 698.29, 'cat4');
insert into compositetest values (345, 'QJUDn', 847.13, 'cat5');
insert into compositetest values (346, 'dktKg', 185.29, 'cat6');
insert into compositetest values (347, 'pMrhs', 706.25, 'cat7');
insert into compositetest values (348, 'VRlZB', 235.98, 'cat8');
insert into compositetest values (349, 'KRBuJ', 798.38, 'cat9');
insert into compositetest values (350, 'QRLAc', 540.84, 'cat0');
insert into compositetest values (351, 'PcxkT', 420.15, 'cat1');
insert into compositetest values (352, 'OtxFe', 453.48, 'cat2');
insert into compositetest values (353, 'Soswh', 690.55, 'cat3');
insert into compositetest values (354, 'xKpns', 639.55, 'cat4');
insert into compositetest values (355, 'ddsnK', 420.09, 'cat5');
insert into compositetest values (356, 'QMmsg', 448.15, 'cat6');
insert into compositetest values (357, 'dePVc', 983.94, 'cat7');
insert into compositetest values (358, 'wxLMG', 413.68, 'cat8');
insert into compositetest values (359, 'LYvVA', 251.32, 'cat9');
insert into compositetest values (360, 'KQCli', 858.17, 'cat0');
insert into compositetest values (361, 'cYyCe', 938.38, 'cat1');
insert into compositetest values (362, 'giDyA', 971.22, 'cat2');
insert into compositetest values (363, 'KgvXq', 670.98, 'cat3');
insert into compositetest values (364, 'dzToI', 384.2, 'cat4');
insert into compositetest values (365, 'gOXis', 561.67, 'cat5');
insert into compositetest values (366, 'FLlXw', 740.36, 'cat6');
insert into compositetest values (367, 'kuQpE', 501.52, 'cat7');
insert into compositetest values (368, 'JaPZV', 608.37, 'cat8');
insert into compositetest values (369, 'cDOnB', 545.61, 'cat9');
insert into compositetest values (370, 'rSsPg', 770.43, 'cat0');
insert into compositetest values (371, 'awKHp', 753.21, 'cat1');
insert into compositetest values (372, 'fEJqj', 499.26, 'cat2');
insert into compositetest values (373, 'ZdLMD', 224.64, 'cat3');
insert into compositetest values (374, 'KdIHL', 713.01, 'cat4');
insert into compositetest values (375, 'KSyBL', 23.43, 'cat5');
insert into compositetest values (376, 'Yafqg', 907.5, 'cat6');
insert into compositetest values (377, 'SLVis', 934.6, 'cat7');
insert into compositetest values (378, 'DHAzj', 842.38, 'cat8');
insert into compositetest values (379, 'hvLle', 494.98, 'cat9');
insert into compositetest values (380, 'WDXZx', 935.35, 'cat0');
insert into compositetest values (381, 'YiIeQ', 937.53, 'cat1');
insert into compositetest values (382, 'yXrIE', 802.02, 'cat2');
insert into compositetest values (383, 'xNSlC', 584.61, 'cat3');
insert into compositetest values (384, 'lLHYe', 473.84, 'cat4');
insert into compositetest values (385, 'QmFhn', 10.14, 'cat5');
insert into compositetest values (386, 'GlhGd', 988.05, 'cat6');
insert into compositetest values (387, 'jfsBw', 92.98, 'cat7');
insert into compositetest values (388, 'KlfJx', 671.4, 'cat8');
insert into compositetest values (389, 'xwSxj', 454.68, 'cat9');
insert into compositetest values (390, 'yCptX', 62.94, 'cat0');
insert into compositetest values (391, 'tgfOc', 888.82, 'cat1');
insert into compositetest values (392, 'EFsXo', 696.32, 'cat2');
insert into compositetest values (393, 'IwoXI', 759.78, 'cat3');
insert into compositetest values (394, 'INXNq', 156.06, 'cat4');
insert into compositetest values (395, 'ZpUgT', 834.89, 'cat5');
insert into compositetest values (396, 'pvHhT', 445.98, 'cat6');
insert into compositetest values (397, 'sbZMP', 168.66, 'cat7');
insert into compositetest values (398, 'luquJ', 162.23, 'cat8');
insert into compositetest values (399, 'ckrQw', 328.31, 'cat9');
insert into compositetest values (400, 'ATXaZ', 166.91, 'cat0');
insert into compositetest values (401, 'xBdqG', 11.28, 'cat1');
insert into compositetest values (402, 'yWEtP', 374.55, 'cat2');
insert into compositetest values (403, 'nXDCo', 448.47, 'cat3');
insert into compositetest values (404, 'nOQUq', 555.53, 'cat4');
insert into compositetest values (405, 'gWGbG', 380.81, 'cat5');
insert into compositetest values (406, 'VpUjn', 88.64, 'cat6');
insert into compositetest values (407, 'NaKnu', 166.33, 'cat7');
insert into compositetest values (408, 'WHdoT', 138.8, 'cat8');
insert into compositetest values (409, 'nqdMG', 397.92, 'cat9');
insert into compositetest values (410, 'FLXbd', 386.46, 'cat0');
insert into compositetest values (411, 'TKDuq', 321.89, 'cat1');
insert into compositetest values (412, 'MDnnq', 228.94, 'cat2');
insert into compositetest values (413, 'JDkTI', 139.87, 'cat3');
insert into compositetest values (414, 'scghK', 422.25, 'cat4');
insert into compositetest values (415, 'hRZhL', 910.59, 'cat5');
insert into compositetest values (416, 'mCIJk', 700.86, 'cat6');
insert into compositetest values (417, 'vFowS', 504.49, 'cat7');
insert into compositetest values (418, 'cQsrl', 58.08, 'cat8');
insert into compositetest values (419, 'YHpYy', 19.33, 'cat9');
insert into compositetest values (420, 'ibrFw', 759.13, 'cat0');
insert into compositetest values (421, 'dZCER', 204.4, 'cat1');
insert into compositetest values (422, 'WmhUs', 672.01, 'cat2');
insert into compositetest values (423, 'fTrLg', 441.38, 'cat3');
insert into compositetest values (424, 'eXEjK', 890.28, 'cat4');
insert into compositetest values (425, 'LYeTf', 988.57, 'cat5');
insert into compositetest values (426, 'pwWog', 779.75, 'cat6');
insert into compositetest values (427, 'YKlqR', 840.44, 'cat7');
insert into compositetest values (428, 'rpGXx', 512.48, 'cat8');
insert into compositetest values (429, 'ulUKE', 585.57, 'cat9');
insert into compositetest values (430, 'VStpR', 956.0, 'cat0');
insert into compositetest values (431, 'TaPzO', 534.01, 'cat1');
insert into compositetest values (432, 'KDTrN', 52.34, 'cat2');
insert into compositetest values (433, 'exnjV', 924.09, 'cat3');
insert into compositetest values (434, 'zkllg', 570.39, 'cat4');
insert into compositetest values (435, 'MnQzJ', 744.47, 'cat5');
insert into compositetest values (436, 'lHVwg', 398.98, 'cat6');
insert into compositetest values (437, 'hntHO', 739.41, 'cat7');
insert into compositetest values (438, 'GYvwd', 263.58, 'cat8');
insert into compositetest values (439, 'FwazB', 363.11, 'cat9');
insert into compositetest values (440, 'IZewV', 737.6, 'cat0');
insert into compositetest values (441, 'NtSBb', 641.69, 'cat1');
insert into compositetest values (442, 'TxGSH', 221.25, 'cat2');
insert into compositetest values (443, 'LogXG', 438.37, 'cat3');
insert into compositetest values (444, 'rPHzV', 501.42, 'cat4');
insert into compositetest values (445, 'hHBuf', 473.96, 'cat5');
insert into compositetest values (446, 'mglsV', 480.25, 'cat6');
insert into compositetest values (447, 'tNHmA', 302.7, 'cat7');
insert into compositetest values (448, 'DfPYR', 282.17, 'cat8');
insert into compositetest values (449, 'FaMNU', 637.19, 'cat9');
insert into compositetest values (450, 'kdNxK', 291.06, 'cat0');
insert into compositetest values (451, 'unFbr', 553.58, 'cat1');
insert into compositetest values (452, 'GcFtp', 68.93, 'cat2');
insert into compositetest values (453, 'UVscC', 808.41, 'cat3');
